year,team,name,postseason,games_played,minutes_played,points_per_game,def_points_per_game,point_difference,field_goal_made,field_goal_attempted,field_goal_percentage,def_field_goal_percentage,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,def_three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,offensive_rebounds_percentage,defensive_rebounds_percentage,total_rebounds_percentage,assists,steals,blocks,turnovers,def_turnovers,fouls
2016,Golden St.,"",false,82,0,114.9,0,0,42.5,87.3,48.7,0,0,0,0,13.1,31.6,41.6,0,16.7,21.8,76.3,0,0,0,0,0,0,0,0,0,0,0,0
2016,Oklahoma City,"",false,82,0,110.2,0,0,41.1,86.4,47.6,0,0,0,0,8.3,23.7,34.8,0,19.7,25.2,78.2,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sacramento,"",false,82,0,106.6,0,0,40,86.4,46.4,0,0,0,0,8,22.4,35.9,0,18.5,25.5,72.5,0,0,0,0,0,0,0,0,0,0,0,0
2016,Houston,"",false,82,0,106.5,0,0,37.7,83.5,45.2,0,0,0,0,10.7,30.9,34.7,0,20.4,29.4,69.4,0,0,0,0,0,0,0,0,0,0,0,0
2016,Boston,"",false,82,0,105.7,0,0,39.2,89.2,43.9,0,0,0,0,8.7,26.1,33.5,0,18.5,23.5,78.8,0,0,0,0,0,0,0,0,0,0,0,0
2016,Portland,"",false,82,0,105.1,0,0,38.6,85.9,45,0,0,0,0,10.5,28.5,37,0,17.4,23,75.4,0,0,0,0,0,0,0,0,0,0,0,0
2016,L.A. Clippers,"",false,82,0,104.5,0,0,38.3,82.4,46.5,0,0,0,0,9.7,26.7,36.4,0,18.2,26.2,69.2,0,0,0,0,0,0,0,0,0,0,0,0
2016,Cleveland,"",false,82,0,104.3,0,0,38.7,84,46,0,0,0,0,10.7,29.6,36.2,0,16.3,21.7,74.8,0,0,0,0,0,0,0,0,0,0,0,0
2016,Washington,"",false,82,0,104.1,0,0,39.5,85.8,46,0,0,0,0,8.6,24.2,35.8,0,16.5,22.5,73,0,0,0,0,0,0,0,0,0,0,0,0
2016,San Antonio,"",false,82,0,103.5,0,0,40.1,82.9,48.4,0,0,0,0,7,18.5,37.5,0,16.4,20.4,80.3,0,0,0,0,0,0,0,0,0,0,0,0
2016,Charlotte,"",false,82,0,103.4,0,0,37,84.4,43.9,0,0,0,0,10.6,29.4,36.2,0,18.7,23.7,79,0,0,0,0,0,0,0,0,0,0,0,0
